cx,cy,cz,theta1,theta2,a1,z1,a2,b2,z2,E,status,machine_type,file_name,E1,E2,E3,E4
1.5,1.6,8.2,180,0,3.8,1.3,1.2,4.4,0.0,-2.8721929638413712,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.5_cy=1.6_cz=8.2.log,-0.5618837492074817,-1.1284989237610716,-0.6699095956864767,-0.5119006951863412
1.5,1.6,8.3,180,0,3.8,1.3,1.2,4.4,0.0,-2.787624068572768,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.5_cy=1.6_cz=8.3.log,-0.5464771236584056,-1.0902465416729683,-0.6527177042153198,-0.4981826990260742
1.5,1.7,8.1,180,0,3.8,1.3,1.2,4.4,0.0,-2.9069990609714296,Done,1,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.5_cy=1.7_cz=8.1.log,-0.5902547313016839,-1.1531199061428197,-0.6340511642338242,-0.5295732592931017
1.5,1.7,8.2,180,0,3.8,1.3,1.2,4.4,0.0,-2.8813357844774146,Done,1,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.5_cy=1.7_cz=8.2.log,-0.5709475036128424,-1.121866770554334,-0.6647338932089042,-0.523787617101334
1.5,1.7,8.3,180,0,3.8,1.3,1.2,4.4,0.0,-2.7992047656152863,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.5_cy=1.7_cz=8.3.log,-0.546472103567794,-1.0781456388358492,-0.6626900931296404,-0.5118969300820027
1.6,1.5,8.1,180,0,3.8,1.3,1.2,4.4,0.0,-2.8214223846734967,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.6_cy=1.5_cz=8.1.log,-0.578110530244885,-1.0546046012022998,-0.6732372811820824,-0.5154699720442295
1.6,1.5,8.2,180,0,3.8,1.3,1.2,4.4,0.0,-2.8091859396954533,Done,1,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.6_cy=1.5_cz=8.2.log,-0.5707146973873023,-1.0646353485353757,-0.6618642899557017,-0.5119716038170736
1.6,1.5,8.3,180,0,3.8,1.3,1.2,4.4,0.0,-2.741901179921115,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.6_cy=1.5_cz=8.3.log,-0.5547790809359867,-1.052390118391486,-0.6328306572977453,-0.5019013232958969
1.6,1.6,8.1,180,0,3.8,1.3,1.2,4.4,0.0,-2.8836839268915355,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.6_cy=1.6_cz=8.1.log,-0.5977515932754613,-1.1032466663164089,-0.6623437076341361,-0.5203419596655294
1.6,1.6,8.3,180,0,3.8,1.3,1.2,4.4,0.0,-2.794963425491005,Done,1,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.6_cy=1.6_cz=8.3.log,-0.5540568169672042,-1.0768008848826869,-0.6499554051843006,-0.5141503184568137
1.6,1.7,8.1,180,0,3.8,1.3,1.2,4.4,0.0,-2.893450492614648,Done,1,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.6_cy=1.7_cz=8.1.log,-0.6059656991856173,-1.128796991019044,-0.6358351751987357,-0.5228526272112504
1.6,1.7,8.2,180,0,3.8,1.3,1.2,4.4,0.0,-2.8846816677832976,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.6_cy=1.7_cz=8.2.log,-0.5781218254123814,-1.1142469166370574,-0.663965820975136,-0.5283471047587227
1.6,1.7,8.3,180,0,3.8,1.3,1.2,4.4,0.0,-2.8148059192753863,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.6_cy=1.7_cz=8.3.log,-0.5472163304511923,-1.0824679277429825,-0.6603488533291966,-0.5247728077520151
1.7,1.5,8.1,180,0,3.8,1.3,1.2,4.4,0.0,-2.706233511591563,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.7_cy=1.5_cz=8.1.log,-0.6065348507254384,-0.9191615877789444,-0.6719320604170207,-0.5086050126701593
1.7,1.5,8.2,180,0,3.8,1.3,1.2,4.4,0.0,-2.7237171951856,Done,1,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.7_cy=1.5_cz=8.2.log,-0.5865819152677432,-0.9621297075063922,-0.6588735773111694,-0.5161319951002952
1.7,1.5,8.3,180,0,3.8,1.3,1.2,4.4,0.0,-2.6796910934790503,Done,1,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.7_cy=1.5_cz=8.3.log,-0.5611708977958187,-0.975490022887243,-0.6288359286263585,-0.5141942441696301
