theta,a1,z1,a2,b2,z2,E3,E4,machine_type,status,file_name
0,3.9,1.3,1.7,4.2,0.0,-0.2412041763600427,-2.103084077258245,2,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.7_b2=4.2_z2=0.0_3.log
0,3.9,1.3,1.8,4.2,0.0,-0.2206124356598593,-2.1055206985765835,2,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.8_b2=4.2_z2=0.0_3.log
0,3.9,1.3,1.8,4.3,0.0,-0.2087512416474055,-2.1423285526398104,2,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.8_b2=4.3_z2=0.0_3.log
0,3.9,1.3,1.8,4.4,0.0,-0.1973631901491899,-2.11956437236222,1,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.8_b2=4.4_z2=0.0_3.log
0,4.0,1.3,1.6,4.2,0.0,-0.2412041763600427,-2.0729899526777444,1,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.6_b2=4.2_z2=0.0_3.log
0,4.0,1.3,1.7,4.2,0.0,-0.2206124356598593,-2.0924113871878944,1,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.7_b2=4.2_z2=0.0_3.log
0,4.0,1.3,1.8,4.2,0.0,-0.2020814378629438,-2.103084077258245,2,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.8_b2=4.2_z2=0.0_3.log
0,4.0,1.3,1.8,4.3,0.0,-0.1914595761045348,-2.1156725553883007,2,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.8_b2=4.3_z2=0.0_3.log
0,4.0,1.3,1.8,4.4,0.0,-0.1812550084869144,-2.0776542344974587,2,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.8_b2=4.4_z2=0.0_3.log
5,3.8,1.3,-1.3,4.3,0.0,-1.6184750469983555,-0.3902867471333593,1,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.3_b2=4.3_z2=0.0_3.log
5,3.8,1.3,-1.3,4.4,0.0,-1.643919950030977,-0.3648857698135543,2,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.3_b2=4.4_z2=0.0_3.log
5,3.8,1.3,-1.3,4.5,0.0,-1.6223191732860869,-0.3407103195786476,1,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.3_b2=4.5_z2=0.0_3.log
5,3.9,1.3,-1.3,4.3,0.0,-1.6318573252647184,-0.356536121777026,1,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.3_b2=4.3_z2=0.0_3.log
5,3.9,1.3,-1.3,4.4,0.0,-1.6279466829728335,-0.3337311533250613,2,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.3_b2=4.4_z2=0.0_3.log
5,3.9,1.3,-1.3,4.5,0.0,-1.5881236433197046,-0.3121554770186776,2,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.3_b2=4.5_z2=0.0_3.log
5,4.0,1.3,-1.3,4.3,0.0,-1.6285051668673989,-0.3256444319704314,2,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.3_b2=4.3_z2=0.0_3.log
5,4.0,1.3,-1.3,4.4,0.0,-1.600988853344461,-0.30533444332832,1,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.3_b2=4.4_z2=0.0_3.log
5,4.0,1.3,-1.3,4.5,0.0,-1.5468937263067346,-0.2859657196531771,1,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.3_b2=4.5_z2=0.0_3.log
20,4.0,0.0,-1.9,4.0,0.0,-2.03293536187266,-0.2480082672554999,2,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.9_b2=4.0_z2=0.0_3.log
20,4.0,0.0,-1.9,4.1,0.0,-2.104326547050732,-0.2339131376502337,1,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.9_b2=4.1_z2=0.0_3.log
20,4.0,0.0,-1.9,4.2,0.0,-2.1209630921512144,-0.2204034748428966,2,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.9_b2=4.2_z2=0.0_3.log
20,4.0,0.0,-1.8,4.0,0.0,-2.160760403901804,-0.2711966443021083,2,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.8_b2=4.0_z2=0.0_3.log
20,4.0,0.0,-1.7,4.0,0.0,-2.239637783379294,-0.2968410954636056,1,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.7_b2=4.0_z2=0.0_3.log
20,4.1,0.0,-1.9,4.0,0.0,-2.160760403901804,-0.2267683087557088,1,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.9_b2=4.0_z2=0.0_3.log
20,4.1,0.0,-1.9,4.1,0.0,-2.1729573157645063,-0.2141534752590814,2,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.9_b2=4.1_z2=0.0_3.log
20,4.1,0.0,-1.9,4.2,0.0,-2.1462247622257564,-0.2022182350629009,2,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.9_b2=4.2_z2=0.0_3.log
20,4.1,0.0,-1.8,4.0,0.0,-2.239637783379294,-0.2480082672554999,1,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.8_b2=4.0_z2=0.0_3.log
20,4.1,0.0,-1.7,4.0,0.0,-2.275663132459158,-0.2711966443021083,2,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.7_b2=4.0_z2=0.0_3.log
20,4.2,0.0,-1.9,4.0,0.0,-2.239637783379294,-0.2073907999583752,1,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.9_b2=4.0_z2=0.0_3.log
20,4.2,0.0,-1.9,4.1,0.0,-2.2059241811221,-0.1963692143326625,1,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.9_b2=4.1_z2=0.0_3.log
20,4.2,0.0,-1.9,4.2,0.0,-2.1459273225045763,-0.1859500382852275,2,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.9_b2=4.2_z2=0.0_3.log
